model,package,run_a,run_b,jaccard
anthropic_claude-haiku-4.5,pull-stream,1,4,0.99185667752443
anthropic_claude-haiku-4.5,pull-stream,1,5,0.988599348534202
anthropic_claude-haiku-4.5,pull-stream,2,3,0.9950980392156863
anthropic_claude-haiku-4.5,pull-stream,2,4,0.9967320261437909
anthropic_claude-haiku-4.5,pull-stream,2,5,0.9869706840390879
anthropic_claude-haiku-4.5,pull-stream,3,4,0.9918433931484503
anthropic_claude-haiku-4.5,pull-stream,3,5,0.9918300653594772
anthropic_claude-haiku-4.5,pull-stream,4,5,0.983739837398374
anthropic_claude-haiku-4.5,spacl-core,1,2,0.988950276243094
anthropic_claude-haiku-4.5,spacl-core,1,3,0.988950276243094
anthropic_claude-haiku-4.5,spacl-core,1,4,0.9835164835164835
anthropic_claude-haiku-4.5,spacl-core,1,5,0.978021978021978
anthropic_claude-haiku-4.5,spacl-core,2,3,1
anthropic_claude-haiku-4.5,spacl-core,2,4,0.994475138121547
anthropic_claude-haiku-4.5,spacl-core,2,5,0.988950276243094
anthropic_claude-haiku-4.5,spacl-core,3,4,0.994475138121547
anthropic_claude-haiku-4.5,spacl-core,3,5,0.988950276243094
anthropic_claude-haiku-4.5,spacl-core,4,5,0.9835164835164835
anthropic_claude-haiku-4.5,zip-a-folder,1,2,1
anthropic_claude-haiku-4.5,zip-a-folder,1,3,1
anthropic_claude-haiku-4.5,zip-a-folder,1,4,1
anthropic_claude-haiku-4.5,zip-a-folder,1,5,1
anthropic_claude-haiku-4.5,zip-a-folder,2,3,1
anthropic_claude-haiku-4.5,zip-a-folder,2,4,1
anthropic_claude-haiku-4.5,zip-a-folder,2,5,1
anthropic_claude-haiku-4.5,zip-a-folder,3,4,1
anthropic_claude-haiku-4.5,zip-a-folder,3,5,1
anthropic_claude-haiku-4.5,zip-a-folder,4,5,1
deepseek_deepseek-chat-v3.1,Complex.js,1,2,0.5554006968641115
deepseek_deepseek-chat-v3.1,Complex.js,1,3,0.5757575757575758
deepseek_deepseek-chat-v3.1,Complex.js,1,4,0.5766784452296819
deepseek_deepseek-chat-v3.1,Complex.js,1,5,0.5610444601270289
deepseek_deepseek-chat-v3.1,Complex.js,2,3,0.5943462897526501
deepseek_deepseek-chat-v3.1,Complex.js,2,4,0.5829817158931083
deepseek_deepseek-chat-v3.1,Complex.js,2,5,0.5863539445628998
deepseek_deepseek-chat-v3.1,Complex.js,3,4,0.5891472868217055
deepseek_deepseek-chat-v3.1,Complex.js,3,5,0.5835694050991501
deepseek_deepseek-chat-v3.1,Complex.js,4,5,0.5833924769339958
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,2,0.49859154929577465
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,3,0.498567335243553
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,4,0.48703170028818443
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,5,0.46005509641873277
deepseek_deepseek-chat-v3.1,countries-and-timezones,2,3,0.47645429362880887
deepseek_deepseek-chat-v3.1,countries-and-timezones,2,4,0.4985754985754986
deepseek_deepseek-chat-v3.1,countries-and-timezones,2,5,0.42857142857142855
deepseek_deepseek-chat-v3.1,countries-and-timezones,3,4,0.5205882352941177
deepseek_deepseek-chat-v3.1,countries-and-timezones,3,5,0.4547945205479452
deepseek_deepseek-chat-v3.1,countries-and-timezones,4,5,0.476056338028169
deepseek_deepseek-chat-v3.1,node-jsonfile,1,2,0.581081081081081
deepseek_deepseek-chat-v3.1,node-jsonfile,1,3,0.5733333333333334
deepseek_deepseek-chat-v3.1,node-jsonfile,1,4,0.5765765765765766
deepseek_deepseek-chat-v3.1,node-jsonfile,1,5,0.5746606334841629
deepseek_deepseek-chat-v3.1,node-jsonfile,2,3,0.5550660792951542
deepseek_deepseek-chat-v3.1,node-jsonfile,2,4,0.6384976525821596
deepseek_deepseek-chat-v3.1,node-jsonfile,2,5,0.5772727272727273
deepseek_deepseek-chat-v3.1,node-jsonfile,3,4,0.6146788990825688
deepseek_deepseek-chat-v3.1,node-jsonfile,3,5,0.5695067264573991
deepseek_deepseek-chat-v3.1,node-jsonfile,4,5,0.6018518518518519
deepseek_deepseek-chat-v3.1,pull-stream,1,2,0.58984375
deepseek_deepseek-chat-v3.1,pull-stream,1,3,0.6124260355029586
deepseek_deepseek-chat-v3.1,pull-stream,1,4,0.5854126679462572
deepseek_deepseek-chat-v3.1,pull-stream,1,5,0.5914396887159533
deepseek_deepseek-chat-v3.1,pull-stream,2,3,0.6017786561264822
deepseek_deepseek-chat-v3.1,pull-stream,2,4,0.5659655831739961
deepseek_deepseek-chat-v3.1,pull-stream,2,5,0.5686653771760155
deepseek_deepseek-chat-v3.1,pull-stream,3,4,0.6111655239960823
deepseek_deepseek-chat-v3.1,pull-stream,3,5,0.5769603097773476
deepseek_deepseek-chat-v3.1,pull-stream,4,5,0.5781399808245445
deepseek_deepseek-chat-v3.1,spacl-core,1,2,0.5087719298245614
deepseek_deepseek-chat-v3.1,spacl-core,1,3,0.44931506849315067
deepseek_deepseek-chat-v3.1,spacl-core,1,4,0.48169014084507045
deepseek_deepseek-chat-v3.1,spacl-core,1,5,0.4747191011235955
deepseek_deepseek-chat-v3.1,spacl-core,2,3,0.5115606936416185
deepseek_deepseek-chat-v3.1,spacl-core,2,4,0.4942528735632184
deepseek_deepseek-chat-v3.1,spacl-core,2,5,0.4956772334293948
deepseek_deepseek-chat-v3.1,spacl-core,3,4,0.4483695652173913
deepseek_deepseek-chat-v3.1,spacl-core,3,5,0.4860335195530726
deepseek_deepseek-chat-v3.1,spacl-core,4,5,0.46537396121883656
deepseek_deepseek-chat-v3.1,zip-a-folder,1,2,0.4779874213836478
deepseek_deepseek-chat-v3.1,zip-a-folder,1,3,0.5789473684210527
deepseek_deepseek-chat-v3.1,zip-a-folder,1,4,0.5490196078431373
deepseek_deepseek-chat-v3.1,zip-a-folder,1,5,0.6040268456375839
deepseek_deepseek-chat-v3.1,zip-a-folder,2,3,0.525974025974026
deepseek_deepseek-chat-v3.1,zip-a-folder,2,4,0.5570469798657718
deepseek_deepseek-chat-v3.1,zip-a-folder,2,5,0.5
deepseek_deepseek-chat-v3.1,zip-a-folder,3,4,0.5592105263157895
deepseek_deepseek-chat-v3.1,zip-a-folder,3,5,0.532051282051282
deepseek_deepseek-chat-v3.1,zip-a-folder,4,5,0.5128205128205128
google_gemini-3.1-flash-lite,Complex.js,1,2,0.8189038919777601
google_gemini-3.1-flash-lite,Complex.js,1,3,0.8228252194732641
google_gemini-3.1-flash-lite,Complex.js,1,4,0.8183980967486122
google_gemini-3.1-flash-lite,Complex.js,1,5,0.8390989541432019
google_gemini-3.1-flash-lite,Complex.js,2,3,0.8276137270550679
google_gemini-3.1-flash-lite,Complex.js,2,4,0.8102362204724409
google_gemini-3.1-flash-lite,Complex.js,2,5,0.821939586645469
google_gemini-3.1-flash-lite,Complex.js,3,4,0.8183980967486122
google_gemini-3.1-flash-lite,Complex.js,3,5,0.8200636942675159
google_gemini-3.1-flash-lite,Complex.js,4,5,0.844855305466238
google_gemini-3.1-flash-lite,countries-and-timezones,1,2,0.8241758241758241
google_gemini-3.1-flash-lite,countries-and-timezones,1,3,0.8333333333333334
google_gemini-3.1-flash-lite,countries-and-timezones,1,4,0.7921146953405018
google_gemini-3.1-flash-lite,countries-and-timezones,1,5,0.7821428571428571
google_gemini-3.1-flash-lite,countries-and-timezones,2,3,0.8395522388059702
google_gemini-3.1-flash-lite,countries-and-timezones,2,4,0.8651685393258427
google_gemini-3.1-flash-lite,countries-and-timezones,2,5,0.8007246376811594
google_gemini-3.1-flash-lite,countries-and-timezones,3,4,0.8401486988847584
google_gemini-3.1-flash-lite,countries-and-timezones,3,5,0.8029197080291971
google_gemini-3.1-flash-lite,countries-and-timezones,4,5,0.7949640287769785
google_gemini-3.1-flash-lite,node-jsonfile,1,2,0.8604651162790697
google_gemini-3.1-flash-lite,node-jsonfile,1,3,0.8554913294797688
google_gemini-3.1-flash-lite,node-jsonfile,1,4,0.8620689655172413
google_gemini-3.1-flash-lite,node-jsonfile,1,5,0.8342857142857143
google_gemini-3.1-flash-lite,node-jsonfile,2,3,0.8662790697674418
google_gemini-3.1-flash-lite,node-jsonfile,2,4,0.8620689655172413
google_gemini-3.1-flash-lite,node-jsonfile,2,5,0.8662790697674418
google_gemini-3.1-flash-lite,node-jsonfile,3,4,0.8258426966292135
google_gemini-3.1-flash-lite,node-jsonfile,3,5,0.8295454545454546
google_gemini-3.1-flash-lite,node-jsonfile,4,5,0.8465909090909091
google_gemini-3.1-flash-lite,pull-stream,1,2,0.8415614236509759
google_gemini-3.1-flash-lite,pull-stream,1,3,0.8126410835214447
google_gemini-3.1-flash-lite,pull-stream,1,4,0.8133484162895928
google_gemini-3.1-flash-lite,pull-stream,1,5,0.8167239404352806
google_gemini-3.1-flash-lite,pull-stream,2,3,0.8259887005649718
google_gemini-3.1-flash-lite,pull-stream,2,4,0.8225988700564971
google_gemini-3.1-flash-lite,pull-stream,2,5,0.824
google_gemini-3.1-flash-lite,pull-stream,3,4,0.8415051311288484
google_gemini-3.1-flash-lite,pull-stream,3,5,0.8179749715585893
google_gemini-3.1-flash-lite,pull-stream,4,5,0.8145620022753128
google_gemini-3.1-flash-lite,spacl-core,1,2,0.7575757575757576
google_gemini-3.1-flash-lite,spacl-core,1,3,0.7744107744107744
google_gemini-3.1-flash-lite,spacl-core,1,4,0.8251748251748252
google_gemini-3.1-flash-lite,spacl-core,1,5,0.7302631578947368
google_gemini-3.1-flash-lite,spacl-core,2,3,0.7582781456953642
google_gemini-3.1-flash-lite,spacl-core,2,4,0.7475083056478405
google_gemini-3.1-flash-lite,spacl-core,2,5,0.7549668874172185
google_gemini-3.1-flash-lite,spacl-core,3,4,0.8061224489795918
google_gemini-3.1-flash-lite,spacl-core,3,5,0.7540983606557377
google_gemini-3.1-flash-lite,spacl-core,4,5,0.7549668874172185
google_gemini-3.1-flash-lite,zip-a-folder,1,2,0.7007299270072993
google_gemini-3.1-flash-lite,zip-a-folder,1,3,0.7709923664122137
google_gemini-3.1-flash-lite,zip-a-folder,1,4,0.7786259541984732
google_gemini-3.1-flash-lite,zip-a-folder,1,5,0.6618705035971223
google_gemini-3.1-flash-lite,zip-a-folder,2,3,0.7633587786259542
google_gemini-3.1-flash-lite,zip-a-folder,2,4,0.8125
google_gemini-3.1-flash-lite,zip-a-folder,2,5,0.8110236220472441
google_gemini-3.1-flash-lite,zip-a-folder,3,4,0.7368421052631579
google_gemini-3.1-flash-lite,zip-a-folder,3,5,0.7480916030534351
google_gemini-3.1-flash-lite,zip-a-folder,4,5,0.7424242424242424
meta-llama_llama-3.1-8b-instruct,Complex.js,1,2,0.453781512605042
meta-llama_llama-3.1-8b-instruct,Complex.js,1,3,0.4564234990316333
meta-llama_llama-3.1-8b-instruct,Complex.js,1,4,0.4950033311125916
meta-llama_llama-3.1-8b-instruct,Complex.js,1,5,0.500992720052945
meta-llama_llama-3.1-8b-instruct,Complex.js,2,3,0.48092105263157897
meta-llama_llama-3.1-8b-instruct,Complex.js,2,4,0.5138607167004733
meta-llama_llama-3.1-8b-instruct,Complex.js,2,5,0.5208333333333334
meta-llama_llama-3.1-8b-instruct,Complex.js,3,4,0.5155195681511471
meta-llama_llama-3.1-8b-instruct,Complex.js,3,5,0.517379679144385
meta-llama_llama-3.1-8b-instruct,Complex.js,4,5,0.5935074100211715
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,2,0.44984802431610943
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,3,0.44242424242424244
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,4,0.47112462006079026
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,5,0.4662576687116564
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,2,3,0.61
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,2,4,0.5686900958466453
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,2,5,0.6166666666666667
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,3,4,0.6171617161716172
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,3,5,0.6351351351351351
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,4,5,0.6131147540983607
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,2,0.4292237442922374
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,3,0.48372093023255813
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,4,0.58
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,5,0.5771144278606966
meta-llama_llama-3.1-8b-instruct,node-jsonfile,2,3,0.4470046082949309
meta-llama_llama-3.1-8b-instruct,node-jsonfile,2,4,0.48095238095238096
meta-llama_llama-3.1-8b-instruct,node-jsonfile,2,5,0.5522388059701493
meta-llama_llama-3.1-8b-instruct,node-jsonfile,3,4,0.6091370558375635
meta-llama_llama-3.1-8b-instruct,node-jsonfile,3,5,0.5215311004784688
meta-llama_llama-3.1-8b-instruct,node-jsonfile,4,5,0.6071428571428571
meta-llama_llama-3.1-8b-instruct,pull-stream,1,2,0.3936269915651359
meta-llama_llama-3.1-8b-instruct,pull-stream,1,3,0.41784037558685444
meta-llama_llama-3.1-8b-instruct,pull-stream,1,4,0.46459747817652763
meta-llama_llama-3.1-8b-instruct,pull-stream,1,5,0.41935483870967744
meta-llama_llama-3.1-8b-instruct,pull-stream,2,3,0.4600577478344562
meta-llama_llama-3.1-8b-instruct,pull-stream,2,4,0.5139720558882236
meta-llama_llama-3.1-8b-instruct,pull-stream,2,5,0.4837117472852912
meta-llama_llama-3.1-8b-instruct,pull-stream,3,4,0.5461847389558233
meta-llama_llama-3.1-8b-instruct,pull-stream,3,5,0.504930966469428
meta-llama_llama-3.1-8b-instruct,pull-stream,4,5,0.5862785862785863
meta-llama_llama-3.1-8b-instruct,spacl-core,1,2,0.4424778761061947
meta-llama_llama-3.1-8b-instruct,spacl-core,1,3,0.45045045045045046
meta-llama_llama-3.1-8b-instruct,spacl-core,1,4,0.47560975609756095
meta-llama_llama-3.1-8b-instruct,spacl-core,1,5,0.4501510574018127
meta-llama_llama-3.1-8b-instruct,spacl-core,2,3,0.5
meta-llama_llama-3.1-8b-instruct,spacl-core,2,4,0.4984423676012461
meta-llama_llama-3.1-8b-instruct,spacl-core,2,5,0.44108761329305135
meta-llama_llama-3.1-8b-instruct,spacl-core,3,4,0.6047297297297297
meta-llama_llama-3.1-8b-instruct,spacl-core,3,5,0.4672897196261682
meta-llama_llama-3.1-8b-instruct,spacl-core,4,5,0.5424836601307189
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,2,0.4041095890410959
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,3,0.44680851063829785
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,4,0.5037593984962406
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,5,0.45714285714285713
meta-llama_llama-3.1-8b-instruct,zip-a-folder,2,3,0.5597014925373134
meta-llama_llama-3.1-8b-instruct,zip-a-folder,2,4,0.5073529411764706
meta-llama_llama-3.1-8b-instruct,zip-a-folder,2,5,0.6456692913385826
meta-llama_llama-3.1-8b-instruct,zip-a-folder,3,4,0.6062992125984252
meta-llama_llama-3.1-8b-instruct,zip-a-folder,3,5,0.625
meta-llama_llama-3.1-8b-instruct,zip-a-folder,4,5,0.6859504132231405
meta-llama_llama-3.3-70b-instruct,Complex.js,1,2,0.5084635416666666
meta-llama_llama-3.3-70b-instruct,Complex.js,1,3,0.5035644847699287
meta-llama_llama-3.3-70b-instruct,Complex.js,1,4,0.5160235448005233
meta-llama_llama-3.3-70b-instruct,Complex.js,1,5,0.5290237467018469
meta-llama_llama-3.3-70b-instruct,Complex.js,2,3,0.48471337579617835
meta-llama_llama-3.3-70b-instruct,Complex.js,2,4,0.4694006309148265
meta-llama_llama-3.3-70b-instruct,Complex.js,2,5,0.4996780424983902
meta-llama_llama-3.3-70b-instruct,Complex.js,3,4,0.5054874112330536
meta-llama_llama-3.3-70b-instruct,Complex.js,3,5,0.5152696556205328
meta-llama_llama-3.3-70b-instruct,Complex.js,4,5,0.5288713910761155
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,2,0.48333333333333334
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,3,0.4672131147540984
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,4,0.4393530997304582
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,5,0.5342857142857143
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,2,3,0.5735294117647058
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,2,4,0.5833333333333334
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,2,5,0.481994459833795
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,3,4,0.5507246376811594
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,3,5,0.4659400544959128
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,4,5,0.45776566757493187
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,2,0.47391304347826085
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,3,0.5021834061135371
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,4,0.4723404255319149
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,5,0.4406779661016949
meta-llama_llama-3.3-70b-instruct,node-jsonfile,2,3,0.5429864253393665
meta-llama_llama-3.3-70b-instruct,node-jsonfile,2,4,0.49130434782608695
meta-llama_llama-3.3-70b-instruct,node-jsonfile,2,5,0.49777777777777776
meta-llama_llama-3.3-70b-instruct,node-jsonfile,3,4,0.5064935064935064
meta-llama_llama-3.3-70b-instruct,node-jsonfile,3,5,0.48695652173913045
meta-llama_llama-3.3-70b-instruct,node-jsonfile,4,5,0.5087719298245614
meta-llama_llama-3.3-70b-instruct,pull-stream,1,2,0.501890359168242
meta-llama_llama-3.3-70b-instruct,pull-stream,1,3,0.5113421550094518
meta-llama_llama-3.3-70b-instruct,pull-stream,1,4,0.49858623939679547
meta-llama_llama-3.3-70b-instruct,pull-stream,1,5,0.5161596958174905
meta-llama_llama-3.3-70b-instruct,pull-stream,2,3,0.497196261682243
meta-llama_llama-3.3-70b-instruct,pull-stream,2,4,0.5014137606032045
meta-llama_llama-3.3-70b-instruct,pull-stream,2,5,0.5018796992481203
meta-llama_llama-3.3-70b-instruct,pull-stream,3,4,0.5208728652751423
meta-llama_llama-3.3-70b-instruct,pull-stream,3,5,0.5141242937853108
meta-llama_llama-3.3-70b-instruct,pull-stream,4,5,0.5199619771863118
meta-llama_llama-3.3-70b-instruct,spacl-core,1,2,0.4128686327077748
meta-llama_llama-3.3-70b-instruct,spacl-core,1,3,0.3978779840848806
meta-llama_llama-3.3-70b-instruct,spacl-core,1,4,0.3518987341772152
meta-llama_llama-3.3-70b-instruct,spacl-core,1,5,0.35732647814910024
meta-llama_llama-3.3-70b-instruct,spacl-core,2,3,0.4371584699453552
meta-llama_llama-3.3-70b-instruct,spacl-core,2,4,0.39528795811518325
meta-llama_llama-3.3-70b-instruct,spacl-core,2,5,0.4053333333333333
meta-llama_llama-3.3-70b-instruct,spacl-core,3,4,0.44054054054054054
meta-llama_llama-3.3-70b-instruct,spacl-core,3,5,0.3723958333333333
meta-llama_llama-3.3-70b-instruct,spacl-core,4,5,0.37628865979381443
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,2,0.5342465753424658
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,3,0.5664335664335665
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,4,0.7045454545454546
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,5,0.6159420289855072
meta-llama_llama-3.3-70b-instruct,zip-a-folder,2,3,0.5714285714285714
meta-llama_llama-3.3-70b-instruct,zip-a-folder,2,4,0.5454545454545454
meta-llama_llama-3.3-70b-instruct,zip-a-folder,2,5,0.5985401459854015
meta-llama_llama-3.3-70b-instruct,zip-a-folder,3,4,0.5899280575539568
meta-llama_llama-3.3-70b-instruct,zip-a-folder,3,5,0.5985401459854015
meta-llama_llama-3.3-70b-instruct,zip-a-folder,4,5,0.5602836879432624
openai_gpt-4o-mini,Complex.js,1,2,0.615909090909091
openai_gpt-4o-mini,Complex.js,1,3,0.6248108925869894
openai_gpt-4o-mini,Complex.js,1,4,0.5912137006701415
openai_gpt-4o-mini,Complex.js,1,5,0.5870206489675516
openai_gpt-4o-mini,Complex.js,2,3,0.6148648648648649
openai_gpt-4o-mini,Complex.js,2,4,0.5994020926756353
openai_gpt-4o-mini,Complex.js,2,5,0.5822320117474302
openai_gpt-4o-mini,Complex.js,3,4,0.631339894019682
openai_gpt-4o-mini,Complex.js,3,5,0.6014760147601476
openai_gpt-4o-mini,Complex.js,4,5,0.5886681383370125
openai_gpt-4o-mini,countries-and-timezones,1,2,0.5734265734265734
openai_gpt-4o-mini,countries-and-timezones,1,3,0.459546925566343
openai_gpt-4o-mini,countries-and-timezones,1,4,0.5754385964912281
openai_gpt-4o-mini,countries-and-timezones,1,5,0.5392491467576792
openai_gpt-4o-mini,countries-and-timezones,2,3,0.51
openai_gpt-4o-mini,countries-and-timezones,2,4,0.6340579710144928
openai_gpt-4o-mini,countries-and-timezones,2,5,0.5620689655172414
openai_gpt-4o-mini,countries-and-timezones,3,4,0.5915492957746479
openai_gpt-4o-mini,countries-and-timezones,3,5,0.5547945205479452
openai_gpt-4o-mini,countries-and-timezones,4,5,0.6028368794326241
openai_gpt-4o-mini,node-jsonfile,1,2,0.6349206349206349
openai_gpt-4o-mini,node-jsonfile,1,3,0.6230366492146597
openai_gpt-4o-mini,node-jsonfile,1,4,0.5572139303482587
openai_gpt-4o-mini,node-jsonfile,1,5,0.6702702702702703
openai_gpt-4o-mini,node-jsonfile,2,3,0.5824742268041238
openai_gpt-4o-mini,node-jsonfile,2,4,0.5196078431372549
openai_gpt-4o-mini,node-jsonfile,2,5,0.5692307692307692
openai_gpt-4o-mini,node-jsonfile,3,4,0.5786802030456852
openai_gpt-4o-mini,node-jsonfile,3,5,0.6073298429319371
openai_gpt-4o-mini,node-jsonfile,4,5,0.5270935960591133
openai_gpt-4o-mini,pull-stream,1,2,0.5791710945802337
openai_gpt-4o-mini,pull-stream,1,3,0.5584826132771338
openai_gpt-4o-mini,pull-stream,1,4,0.5510416666666667
openai_gpt-4o-mini,pull-stream,1,5,0.5876726886291179
openai_gpt-4o-mini,pull-stream,2,3,0.619934282584885
openai_gpt-4o-mini,pull-stream,2,4,0.6010752688172043
openai_gpt-4o-mini,pull-stream,2,5,0.6047261009667024
openai_gpt-4o-mini,pull-stream,3,4,0.5715800636267232
openai_gpt-4o-mini,pull-stream,3,5,0.578556263269639
openai_gpt-4o-mini,pull-stream,4,5,0.630718954248366
openai_gpt-4o-mini,spacl-core,1,2,0.48348348348348347
openai_gpt-4o-mini,spacl-core,1,3,0.50920245398773
openai_gpt-4o-mini,spacl-core,1,4,0.5534591194968553
openai_gpt-4o-mini,spacl-core,1,5,0.5615141955835962
openai_gpt-4o-mini,spacl-core,2,3,0.5394321766561514
openai_gpt-4o-mini,spacl-core,2,4,0.4626865671641791
openai_gpt-4o-mini,spacl-core,2,5,0.5537974683544303
openai_gpt-4o-mini,spacl-core,3,4,0.46546546546546547
openai_gpt-4o-mini,spacl-core,3,5,0.5425867507886435
openai_gpt-4o-mini,spacl-core,4,5,0.5248447204968945
openai_gpt-4o-mini,zip-a-folder,1,2,0.5403225806451613
openai_gpt-4o-mini,zip-a-folder,1,3,0.5234375
openai_gpt-4o-mini,zip-a-folder,1,4,0.6608695652173913
openai_gpt-4o-mini,zip-a-folder,1,5,0.6050420168067226
openai_gpt-4o-mini,zip-a-folder,2,3,0.5645161290322581
openai_gpt-4o-mini,zip-a-folder,2,4,0.52
openai_gpt-4o-mini,zip-a-folder,2,5,0.484375
openai_gpt-4o-mini,zip-a-folder,3,4,0.515625
openai_gpt-4o-mini,zip-a-folder,3,5,0.4696969696969697
openai_gpt-4o-mini,zip-a-folder,4,5,0.6521739130434783
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,2,0.926678445229682
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,3,0.9146877748460862
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,4,0.908851884312007
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,5,0.9198943661971831
qwen_qwen-2.5-coder-32b-instruct,Complex.js,2,3,0.9104477611940298
qwen_qwen-2.5-coder-32b-instruct,Complex.js,2,4,0.9248452696728559
qwen_qwen-2.5-coder-32b-instruct,Complex.js,2,5,0.9412288512911843
qwen_qwen-2.5-coder-32b-instruct,Complex.js,3,4,0.9196113074204947
qwen_qwen-2.5-coder-32b-instruct,Complex.js,3,5,0.93766696349065
qwen_qwen-2.5-coder-32b-instruct,Complex.js,4,5,0.9146877748460862
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,2,0.9400749063670412
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,3,0.9400749063670412
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,4,0.9185185185185185
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,5,0.9291044776119403
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,2,3,0.9188191881918819
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,2,4,0.9117647058823529
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,2,5,0.9080882352941176
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,3,4,0.9330855018587361
